food_id,food_name,category,processing_level,total_ingredients,healthy_ingredients_count,neutral_ingredients_count,unhealthy_ingredients_count,healthy_percentage,neutral_percentage,unhealthy_percentage,affected_health_conditions,overall_recommendation,description,health_label,high_unhealthy_percentage,low_healthy_percentage,mixed_ingredients,is_healthy,health_condition_count,calories,sugar,sodium,fat,fiber,protein,additives,preservatives,ingredients
1,FreshBite Spicy Pretzels Bites,Snacks,Processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,FreshBite Spicy Pretzels Bites is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.,Unhealthy,1,1,True,0,4,209.94803644469718,32.03512996683025,638.209286219738,18.52774874379958,8.129229180955559,2.683477502405054,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",FreshBite Spicy Pretzels Bites is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
2,UrbanMunch Classic Chips Crunch,Snacks,Ultra-processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,UrbanMunch Classic Chips Crunch is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.,Healthy,0,1,True,1,4,371.23836363093335,24.12482752734254,502.9897065420515,15.312109372909894,11.137981719650812,6.875620397854208,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",UrbanMunch Classic Chips Crunch is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
3,LiteLeaf Creamy Nachos Delight,Snacks,Processed,5,0,2,3,0.0,40.0,60.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,LiteLeaf Creamy Nachos Delight is a snacks item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.,Unhealthy,1,1,True,0,4,213.27270213683875,37.36583003676592,802.4064110944381,23.054454982500346,6.319665660878666,7.170313920547693,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",LiteLeaf Creamy Nachos Delight is a snacks item with 60.0% of its listed ingredients marked as unhealthy in this expanded dataset.
4,DailyCrave Mango Nachos Mix,Snacks,Ultra-processed,8,0,4,4,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), High Cholesterol, Kidney Disease, Obesity or Overweight",Avoid,DailyCrave Mango Nachos Mix is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.,Unhealthy,1,1,True,0,5,284.2467373274395,26.915755056096856,648.7456666110203,21.984014615886096,8.430548970978633,3.9570767289399598,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",DailyCrave Mango Nachos Mix is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
5,UrbanMunch Herb Chips Cup,Snacks,Processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,UrbanMunch Herb Chips Cup is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.,Healthy,0,1,True,1,4,236.6947269121575,19.123014549514572,467.2070281883556,14.98810480885438,11.385940882570535,8.164029948138568,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",UrbanMunch Herb Chips Cup is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
6,UrbanMunch Strawberry Nachos Lite,Snacks,Ultra-processed,5,0,4,1,0.0,80.0,20.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Recommended,UrbanMunch Strawberry Nachos Lite is a snacks item with 20.0% of its listed ingredients marked as unhealthy in this expanded dataset.,Healthy,0,1,True,1,3,327.0688396151639,11.406535254712319,349.8579509968306,12.061477186163081,13.028652332690829,2.41177544183787,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",UrbanMunch Strawberry Nachos Lite is a snacks item with 20.0% of its listed ingredients marked as unhealthy in this expanded dataset.
7,SuperBowl Barbecue Puffs Plus,Snacks,Processed,5,0,3,2,0.0,60.0,40.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SuperBowl Barbecue Puffs Plus is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.,Healthy,0,1,True,1,4,258.91554657051455,25.4815670264314,596.5754809159171,17.45036769228568,10.265617684190016,4.813951968448695,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",SuperBowl Barbecue Puffs Plus is a snacks item with 40.0% of its listed ingredients marked as unhealthy in this expanded dataset.
8,FamilyChoice Vanilla Crackers Treat,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,FamilyChoice Vanilla Crackers Treat is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.,Healthy,1,1,True,1,4,309.66204767255465,25.400822933479773,674.5863424179985,28.174330262913283,9.29794198647435,8.586692921710991,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",FamilyChoice Vanilla Crackers Treat is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
9,QuickTreat Cheese Puffs Classic,Snacks,Processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,QuickTreat Cheese Puffs Classic is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.,Unhealthy,1,1,True,0,4,267.1085468872222,26.65652233152189,685.6903634269664,19.780652785133164,8.710973014330577,0.5547864754412162,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",QuickTreat Cheese Puffs Classic is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
10,FunFoods Chocolate Nachos Max,Snacks,Processed,9,0,4,5,0.0,44.44,55.56,"Children (Hyperactivity), Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,FunFoods Chocolate Nachos Max is a snacks item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.,Unhealthy,1,1,True,0,5,223.4241966079384,28.088489189535284,831.0419478610604,26.43876161873129,7.453551152788328,2.8481111368533165,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",FunFoods Chocolate Nachos Max is a snacks item with 55.56% of its listed ingredients marked as unhealthy in this expanded dataset.
11,DailyCrave Masala Chips Bites,Snacks,Ultra-processed,6,0,3,3,0.0,50.0,50.0,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Avoid,DailyCrave Masala Chips Bites is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.,Unhealthy,1,1,True,0,4,290.6429116680373,34.06464028080218,723.3489814413957,18.305755915294455,8.555696012737245,0.28966161945995594,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",DailyCrave Masala Chips Bites is a snacks item with 50.0% of its listed ingredients marked as unhealthy in this expanded dataset.
12,PureSip Creamy Namkeen Crunch,Snacks,Processed,9,1,5,3,11.11,55.56,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,PureSip Creamy Namkeen Crunch is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.,Healthy,0,1,True,1,4,228.70929925407012,16.312334841793785,420.2702859312706,13.398504947343003,11.01726911454751,7.016093346843277,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",PureSip Creamy Namkeen Crunch is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
13,SmartSnack Tomato Crackers Delight,Snacks,Ultra-processed,7,0,4,3,0.0,57.14,42.86,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease, Obesity or Overweight",Caution,SmartSnack Tomato Crackers Delight is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.,Healthy,1,1,True,1,4,273.60313752256917,25.75703806454199,643.3403649686031,22.326483331419098,10.375705328912998,3.809721331492395,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",SmartSnack Tomato Crackers Delight is a snacks item with 42.86% of its listed ingredients marked as unhealthy in this expanded dataset.
14,FlavorHub Chilli Lime Pretzels Mix,Snacks,Ultra-processed,6,0,4,2,0.0,66.67,33.33,"Heart Disease, High Blood Pressure (Hypertension), Kidney Disease",Caution,FlavorHub Chilli Lime Pretzels Mix is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.,Healthy,0,1,True,1,3,310.7002441063549,19.972590896533163,455.20127759411196,9.321019882121663,11.625531797524888,6.783801498367362,"Artificial Flavors, Colors","Potassium Sorbate, Sodium Benzoate",FlavorHub Chilli Lime Pretzels Mix is a snacks item with 33.33% of its listed ingredients marked as unhealthy in this expanded dataset.
